objID,nDetections,raMean,decMean,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
109030124169051088,69,12.41688529,0.85884855,15.4233999252319,0.00402900017797947,14.9428997039795,0.003091000020504,14.7187004089355,0.00356799992732704,14.6183004379272,0.00329199992120266
109100144406338706,89,14.44067438,0.92354619,12.875,-999,12.6020002365112,-999,12.5080003738403,-999,12.4770002365112,-999
109130143784918305,84,14.378658,0.94819572,14.7718000411987,0.00248700007796288,14.206600189209,0.00407399982213974,13.9976997375488,0.00298399990424514,13.8985996246338,0.00245300005190074
109170148814278689,75,14.88147631,0.98186606,13.1590003967285,-999,12.4790000915527,-999,12.2150001525879,-999,12.0790004730225,-999
108940119219813794,73,11.92206652,0.78610017,15.9968004226685,0.00443399976938963,15.5181999206543,0.00302299996837974,15.3535003662109,0.00389899988658726,15.3015003204346,0.00141300004906952
109200138626040938,70,13.86263984,1.00035082,14.7586002349854,0.00479600019752979,14.2873001098633,0.00325500010512769,14.1190004348755,0.00522000016644597,14.0852003097534,0.00431999983265996
108910143254038755,90,14.32543347,0.76524641,15.0318002700806,0.00124300003517419,14.4085998535156,0.00206399988383055,14.190299987793,0.00262899999506772,14.1062002182007,0.00202700006775558
109110117152520371,82,11.71527881,0.92492225,14.316499710083,0.00416000001132488,13.986499786377,0.0457100011408329,13.4940004348755,-999,13.3784999847412,0.0021480000577867
109010140236866012,73,14.02372784,0.84624999,15.4654998779297,0.00149599998258054,14.472900390625,0.00408999994397163,14.0811004638672,0.00450900010764599,13.8929996490479,0.00385500001721084
108980130712125228,72,13.07122955,0.82063331,15.7266998291016,0.00525700021535158,15.4483003616333,0.000898999976925552,15.3439998626709,0.00220800004899502,15.3354997634888,0.00166800001170486
109080120893614650,84,12.08939188,0.90349323,15.6700000762939,0.00265599996782839,15.1091003417969,0.00190599996130914,14.9123001098633,0.00174400000832975,14.8353996276855,0.00173300004098564
109180142148310234,75,14.2148505,0.98316715,15.668399810791,0.00372799998149276,15.1322002410889,0.00796500034630299,14.9090995788574,0.00376600003801286,14.9067001342773,0.00594299985095859
109230120433527692,78,12.04342304,1.03102367,15.6338996887207,0.00195199996232986,15.236499786377,0.00533099984750152,15.104700088501,0.00225599994882941,15.0805997848511,0.00347799994051456
109300143557796156,83,14.35577352,1.088116,13.1660003662109,-999,12.4910001754761,-999,12.25,-999,12.1370000839233,-999
109150146298588329,83,14.62991996,0.9648565,12.7180004119873,-999,12.41100025177,-999,12.3210000991821,-999,12.3090000152588,-999
109340133904289044,81,13.39048703,1.12383997,13.8470001220703,0.00478400010615587,13.5448999404907,0.00100000004749745,13.2770004272461,-999,13.1499996185303,0.00185100000817329
109240121289468410,76,12.12904142,1.04000815,13.4020004272461,-999,12.996000289917,-999,12.831000328064,-999,12.7550001144409,-999
109270125157719953,78,12.51573567,1.06626443,13.7328996658325,0.00469700014218688,13.3430004119873,-999,13.2480001449585,-999,13.2171001434326,0.00474799983203411
109310148183848252,91,14.81843061,1.09817036,13.8647003173828,0.00446399999782443,13.4370002746582,-999,13.3470001220703,-999,13.3681001663208,0.00286399992182851
109280120160491749,77,12.01619577,1.06777641,14.5322999954224,0.00365200010128319,14.1162004470825,0.00096600002143532,13.989800453186,0.00433700019493699,13.9660997390747,0.0024439999833703
109250131006832565,66,13.10072966,1.04344046,15.2840995788574,0.0057760002091527,14.9209003448486,0.00533000007271767,14.7847995758057,0.00285500008612871,14.74880027771,0.00434899982064962
109220124224112551,74,12.4224075,1.01840262,14.9706001281738,0.00388900004327297,14.5932998657227,0.00236600008793175,14.4675998687744,0.00217700004577637,14.4399995803833,0.00272400001995265
109290143650199158,80,14.36502636,1.08228578,14.0106000900269,0.00260100001469254,13.6483001708984,0.00533800013363361,13.4540004730225,-999,13.516900062561,0.00281700002960861
108950140658556370,72,14.0658746,0.79660232,14.476300239563,0.00214100000448525,14.0854997634888,0.00738199986517429,13.9697999954224,0.0053170002065599,13.964599609375,0.00660499976947904
108990148736752799,81,14.87370324,0.82693931,15.6294002532959,0.00588899990543723,15.2883996963501,0.00260400003753603,15.1642999649048,0.00146099994890392,15.1520004272461,0.00330500002019107
109050133715650035,67,13.3716449,0.87467567,14.9767999649048,0.00884599983692169,13.8607997894287,0.0108350003138185,13.3311996459961,0.00433799996972084,13.0939998626709,0.00741200009360909
108770145457505536,79,14.54576975,0.64586461,14.8224000930786,0.0057689999230206,14.3781995773315,0.00236800010316074,14.2215003967285,0.00362100009806454,14.1700000762939,0.00102800002787262
108890133488129745,85,13.34880839,0.7494633,15.06130027771,0.00332199991680682,14.4686002731323,0.00500100012868643,14.220100402832,0.00260400003753603,14.1473999023438,0.00627399981021881
