#field RA        DEC
30280  24.1791  -5.4545
20281  26.8657   5.4545
30281  26.8657  -5.4545
20282  29.5522   5.4545
30282  29.5522  -5.4545
20283  32.2388   5.4545
30283  32.2388  -5.4545
20284  34.9254   5.4545
30284  34.9254  -5.4545
20285  37.6119   5.4545
30285  37.6119  -5.4545
20286  40.2985   5.4545
30286  40.2985  -5.4545
20287  42.9851   5.4545
30287  42.9851  -5.4545
20288  45.6716   5.4545
30288  45.6716  -5.4545
20289  48.3582   5.4545
30289  48.3582  -5.4545
20290  51.0448   5.4545
30290  51.0448  -5.4545
20291  53.7313   5.4545
30291  53.7313  -5.4545
20292  56.4179   5.4545
30292  56.4179  -5.4545
20293  59.1045   5.4545
30293  59.1045  -5.4545
20294  61.7910   5.4545
30294  61.7910  -5.4545
20295  64.4776   5.4545
30295  64.4776  -5.4545
20296  67.1642   5.4545
30296  67.1642  -5.4545
20297  69.8507   5.4545
30297  69.8507  -5.4545
20298  72.5373   5.4545
30298  72.5373  -5.4545
20299  75.2239   5.4545
30299  75.2239  -5.4545
20300  77.9104   5.4545
30300  77.9104  -5.4545
20301  80.5970   5.4545
30301  80.5970  -5.4545
20302  83.2836   5.4545
30302  83.2836  -5.4545
20303  85.9701   5.4545
30303  85.9701  -5.4545
20304  88.6567   5.4545
30304  88.6567  -5.4545
20305  91.3433   5.4545
30305  91.3433  -5.4545
20306  94.0299   5.4545
30306  94.0299  -5.4545
20307  96.7164   5.4545
30307  96.7164  -5.4545
20308  99.4030   5.4545
30308  99.4030  -5.4545
20309 102.0896   5.4545
30309 102.0896  -5.4545
20310 104.7761   5.4545
30310 104.7761  -5.4545
20311 107.4627   5.4545
30311 107.4627  -5.4545
20312 110.1493   5.4545
30312 110.1493  -5.4545
20313 112.8358   5.4545
30313 112.8358  -5.4545
20314 115.5224   5.4545
30314 115.5224  -5.4545
20315 118.2090   5.4545
30315 118.2090  -5.4545
20316 120.8955   5.4545
30316 120.8955  -5.4545
20317 123.5821   5.4545
30317 123.5821  -5.4545
20318 126.2687   5.4545
30318 126.2687  -5.4545
20319 128.9552   5.4545
30319 128.9552  -5.4545
20320 131.6418   5.4545
30320 131.6418  -5.4545
20321 134.3284   5.4545
30321 134.3284  -5.4545
20322 137.0149   5.4545
30322 137.0149  -5.4545
20323 139.7015   5.4545
30323 139.7015  -5.4545
20324 142.3881   5.4545
30324 142.3881  -5.4545
20325 145.0746   5.4545
30325 145.0746  -5.4545
20326 147.7612   5.4545
30326 147.7612  -5.4545
20327 150.4478   5.4545
30327 150.4478  -5.4545
20328 153.1343   5.4545
30328 153.1343  -5.4545
20329 155.8209   5.4545
30329 155.8209  -5.4545
20330 158.5075   5.4545
30330 158.5075  -5.4545
20331 161.1940   5.4545
30331 161.1940  -5.4545
20332 163.8806   5.4545
30332 163.8806  -5.4545
20333 166.5672   5.4545
30333 166.5672  -5.4545
20334 169.2537   5.4545
30334 169.2537  -5.4545
20335 171.9403   5.4545
30335 171.9403  -5.4545
20336 174.6269   5.4545
30336 174.6269  -5.4545
20337 177.3134   5.4545
30337 177.3134  -5.4545
20338 180.0000   5.4545
30338 180.0000  -5.4545
20339 182.6866   5.4545
30339 182.6866  -5.4545
20340 185.3731   5.4545
30340 185.3731  -5.4545
20341 188.0597   5.4545
30341 188.0597  -5.4545
20342 190.7463   5.4545
30342 190.7463  -5.4545
20343 193.4328   5.4545
30343 193.4328  -5.4545
20344 196.1194   5.4545
30344 196.1194  -5.4545
20345 198.8060   5.4545
30345 198.8060  -5.4545
20346 201.4925   5.4545
30346 201.4925  -5.4545
20347 204.1791   5.4545
30347 204.1791  -5.4545
20348 206.8657   5.4545
30348 206.8657  -5.4545
20349 209.5522   5.4545
30349 209.5522  -5.4545
20350 212.2388   5.4545
30350 212.2388  -5.4545
20351 214.9254   5.4545
30351 214.9254  -5.4545
20352 217.6119   5.4545
30352 217.6119  -5.4545
20353 220.2985   5.4545
30353 220.2985  -5.4545
20354 222.9851   5.4545
30354 222.9851  -5.4545
20355 225.6716   5.4545
30355 225.6716  -5.4545
20356 228.3582   5.4545
30356 228.3582  -5.4545
20357 231.0448   5.4545
30357 231.0448  -5.4545
20358 233.7313   5.4545
30358 233.7313  -5.4545
20359 236.4179   5.4545
30359 236.4179  -5.4545
20360 239.1045   5.4545
30360 239.1045  -5.4545
20361 241.7910   5.4545
30361 241.7910  -5.4545
20362 244.4776   5.4545
30362 244.4776  -5.4545
20363 247.1642   5.4545
30363 247.1642  -5.4545
20364 249.8507   5.4545
30364 249.8507  -5.4545
20365 252.5373   5.4545
30365 252.5373  -5.4545
20366 255.2239   5.4545
30366 255.2239  -5.4545
20367 257.9104   5.4545
30367 257.9104  -5.4545
20368 260.5970   5.4545
30368 260.5970  -5.4545
20369 263.2836   5.4545
30369 263.2836  -5.4545
20370 265.9701   5.4545
30370 265.9701  -5.4545
20371 268.6567   5.4545
30371 268.6567  -5.4545
20372 271.3433   5.4545
30372 271.3433  -5.4545
20373 274.0299   5.4545
30373 274.0299  -5.4545
20374 276.7164   5.4545
30374 276.7164  -5.4545
20375 279.4030   5.4545
30375 279.4030  -5.4545
20376 282.0896   5.4545
30376 282.0896  -5.4545
20377 284.7761   5.4545
30377 284.7761  -5.4545
